firm_num,round,firm_id,price,price_reason,profit,sale_num,revenue,share_rate,share_rate_predicted,vector_intersection,matrix_intersection,expert_label
3,3,F0,0.6,"Change price: 0.05, reason: Stable predicted share rate of 0.7 maintains purchase likelihood, justifying a slight price increase to boost profit as seen in Round 1's higher earnings with similar sales.",3.0,5,3.0,0.7,"[0.7, 'adaptive']","[1, 3, 3, 2, 3, 1, 2, 3]","[[0, 0, 0, 1, 0, 1, 1, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 1, 1, 0], [0, 0, 0, 0, 0, 0, 0, 0], [1, 0, 0, 1, 0, 0, 1, 0], [1, 0, 0, 1, 0, 1, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]",1
10,10,F5,0.95,"Change price: -0.05, reason: Zero sales at 1.0 indicates overpricing; decrease to 0.95 to boost sales based on historical success and maintain profit in competitive market.",1.9,2,1.9,1.0,"[1.0, 'adaptive']","[1, 3, 2, 3, 3, 1, 2, 1]","[[0, 0, 1, 0, 0, 1, 1, 1], [0, 0, 0, 0, 0, 0, 0, 0], [1, 0, 0, 1, 0, 1, 1, 0], [0, 0, 1, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [1, 0, 1, 0, 0, 0, 1, 1], [1, 0, 1, 0, 0, 1, 0, 0], [1, 0, 0, 0, 0, 1, 0, 0]]",1
7,6,F1,0.75,"Change price: 0.05, reason: High share rate and recommendations reduce consumer search in competitive market, justifying slight price increase to maximize profit.",1.5,2,1.5,1.0,"[1.0, 'adaptive']","[1, 1, 2, 3, 3, 2, 1, 3]","[[0, 1, 1, 0, 0, 1, 1, 0], [1, 0, 1, 0, 0, 0, 1, 0], [1, 1, 0, 1, 0, 1, 1, 0], [0, 0, 1, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [1, 0, 1, 0, 0, 0, 1, 0], [1, 1, 1, 0, 0, 1, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]",1
8,5,F5,0.75,"Change price: 0.05, reason: High share rate and competition boost buy likelihood, justifying slight price increase.",3.0,4,3.0,1.0,"[1.0, 'adaptive']","[1, 3, 1, 2, 3, 2, 3, 3]","[[0, 0, 1, 0, 0, 1, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [1, 0, 0, 1, 0, 1, 0, 0], [0, 0, 1, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [1, 0, 1, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]",0
8,2,F7,0.6,"Change price: 0.05, reason: High share rate of 1.0 enhances purchase likelihood through recommendations in competitive 8-firm market, justifying a slight price increase.",1.2,2,1.2,1.0,"[1.0, 'adaptive']","[1, 1, 2, 3, 3, 2, 3, 3]","[[0, 1, 1, 0, 0, 1, 0, 0], [1, 0, 1, 0, 0, 1, 0, 0], [1, 1, 0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [1, 1, 1, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]",1
6,4,F0,0.75,"Change price: 0.05, reason: High share rate of 1.0 reduces consumer search in competitive market, sustaining purchase likelihood and allowing a slight price increase to boost profit.",2.25,3,2.25,1.0,"[1.0, 'adaptive']","[1, 3, 2, 3, 3, 1, 2, 3]","[[0, 0, 1, 0, 0, 1, 1, 0], [0, 0, 0, 0, 0, 0, 0, 0], [1, 0, 0, 1, 0, 1, 1, 0], [0, 0, 1, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [1, 0, 1, 0, 0, 0, 1, 0], [1, 0, 1, 0, 0, 1, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]",0
1,10,F0,0.5,"Change price: 0, reason: Predicted share rate of 0.0 indicates low engagement, so maintain price of 0.50 to sustain sales and maximize profit in a monopoly market.",7.5,15,7.5,0.0,"[0.0, 'adaptive']","[3, 3, 3, 3, 3, 2, 1, 2]","[[0, 0, 0, 0, 0, 1, 1, 1], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 1, 1], [1, 0, 0, 0, 0, 1, 0, 1], [1, 0, 0, 0, 0, 1, 1, 0]]",1
5,3,F4,0.65,"Change price: 0.05, reason: High share rate of 1.0 increases buy likelihood through recommendations, justifying a slight price hike despite competition.",0.65,1,0.65,1.0,"[1.0, 'adaptive']","[1, 1, 2, 3, 3, 2, 3, 3]","[[0, 1, 0, 0, 0, 1, 0, 0], [1, 0, 0, 0, 0, 1, 0, 0], [0, 0, 0, 1, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [1, 1, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]",1
4,3,F2,0.7,"Change price: 0.05, reason: High share rate of 0.95 increases purchase likelihood in competitive market, allowing a slight price increase.",4.2,6,4.2,0.95,"[0.95, 'adaptive']","[1, 3, 1, 2, 3, 2, 3, 3]","[[0, 0, 1, 0, 0, 1, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [1, 0, 0, 1, 0, 1, 0, 0], [0, 0, 1, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [1, 0, 1, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]",1
4,8,F2,0.65,"Change price: 0, reason: Historical data shows 0.65 maximizes profit with high share rate of 0.95, as price changes reduced sales.",4.55,7,4.55,0.95,"[0.95, 'adaptive']","[1, 3, 3, 2, 3, 2, 1, 3]","[[0, 0, 0, 0, 0, 1, 1, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 1, 0], [1, 0, 0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]",1
