firm_num,round,firm_id,price,price_reason,profit,sale_num,revenue,share_rate,share_rate_predicted
1,1,F0,0.5,"Change price: 0.00, reason: No competition and zero share rate imply no need to adjust price from basic 0.5.",7.0,14,7.0,0.0,"[0.0, 'equilibrium']"
1,2,F0,0.5,"Change price: 0.00, reason: No competition and zero share rate imply no need to adjust price from basic 0.5.",7.0,14,7.0,0.0,"[0.0, 'equilibrium']"
1,3,F0,0.5,"Change price: 0.00, reason: No competition and zero share rate imply no need to adjust price from basic 0.5.",7.0,14,7.0,0.0,"[0.0, 'equilibrium']"
1,4,F0,0.5,"Change price: 0.00, reason: No competition and zero share rate imply no need to adjust price from basic 0.5.",7.0,14,7.0,0.0,"[0.0, 'equilibrium']"
1,5,F0,0.5,"Change price: 0.00, reason: No competition and zero share rate imply no need to adjust price from basic 0.5.",7.0,14,7.0,0.0,"[0.0, 'equilibrium']"
1,6,F0,0.5,"Change price: 0.00, reason: No competition and zero share rate imply no need to adjust price from basic 0.5.",7.0,14,7.0,0.0,"[0.0, 'equilibrium']"
1,7,F0,0.5,"Change price: 0.00, reason: No competition and zero share rate imply no need to adjust price from basic 0.5.",7.0,14,7.0,0.0,"[0.0, 'equilibrium']"
1,8,F0,0.5,"Change price: 0.00, reason: No competition and zero share rate imply no need to adjust price from basic 0.5.",7.0,14,7.0,0.0,"[0.0, 'equilibrium']"
1,9,F0,0.5,"Change price: 0.00, reason: No competition and zero share rate imply no need to adjust price from basic 0.5.",7.0,14,7.0,0.0,"[0.0, 'equilibrium']"
1,10,F0,0.5,"Change price: 0.00, reason: No competition and zero share rate imply no need to adjust price from basic 0.5.",7.0,14,7.0,0.0,"[0.0, 'equilibrium']"
2,1,F0,0.4,"Change price: -0.10, reason: Low share rate means less personalized recommendation, so lower price to attract more consumers.",2.4,6,2.4,0.0,"[0.0, 'equilibrium']"
2,1,F1,0.4,"Change price: -0.10, reason: Low share rate means less personalized recommendation, so lower price to attract more buyers amid competition.",3.6,9,3.6,0.0,"[0.0, 'equilibrium']"
2,2,F0,0.4,"Change price: 0.00, reason: Share rate remains zero, so keep price stable at 0.40 to maintain current consumer base.",2.4,6,2.4,0.0,"[0.0, 'equilibrium']"
2,2,F1,0.4,"Change price: 0.00, reason: Maintain price as low share rate limits personalized recommendations, keeping price stable to attract buyers amid competition.",3.6,9,3.6,0.0,"[0.0, 'equilibrium']"
2,3,F0,0.4,"Change price: 0.00, reason: Share rate remains zero, maintain price at 0.40 to keep stable consumer base and profit.",2.4,6,2.4,0.0,"[0.0, 'equilibrium']"
2,3,F1,0.4,"Change price: 0.00, reason: Share rate remains zero, maintain price to keep stable consumer base amid competition.",3.6,9,3.6,0.0,"[0.0, 'equilibrium']"
2,4,F0,0.4,"Change price: 0.00, reason: Share rate remains zero, maintain price at 0.40 to keep stable consumer base and profit.",2.4,6,2.4,0.0,"[0.0, 'equilibrium']"
2,4,F1,0.4,"Change price: 0.00, reason: Share rate remains zero, maintain stable price to keep consumer base and profit amid competition.",3.6,9,3.6,0.0,"[0.0, 'equilibrium']"
2,5,F0,0.4,"Change price: 0.00, reason: Share rate remains zero, maintain price at 0.40 to keep stable consumer base and profit.",2.4,6,2.4,0.0,"[0.0, 'equilibrium']"
2,5,F1,0.4,"Change price: 0.00, reason: Share rate remains zero, maintain stable price to keep consumer base and profit amid competition.",3.6,9,3.6,0.0,"[0.0, 'equilibrium']"
2,6,F0,0.4,"Change price: 0.00, reason: Share rate remains zero, maintain price at 0.40 to keep stable consumer base and profit.",2.4,6,2.4,0.0,"[0.0, 'equilibrium']"
2,6,F1,0.4,"Change price: 0.00, reason: Share rate remains zero, maintain stable price to keep consumer base and maximize profit amid competition.",3.6,9,3.6,0.0,"[0.0, 'equilibrium']"
2,7,F0,0.4,"Change price: 0.00, reason: Share rate remains zero, maintain price at 0.40 to keep stable consumer base and profit.",2.4,6,2.4,0.0,"[0.0, 'equilibrium']"
2,7,F1,0.4,"Change price: 0.00, reason: Share rate remains zero, maintain stable price to keep consumer base and maximize profit amid competition.",3.6,9,3.6,0.0,"[0.0, 'equilibrium']"
2,8,F0,0.4,"Change price: 0.00, reason: Share rate remains zero, maintain price at 0.40 to keep stable consumer base and profit.",2.4,6,2.4,0.0,"[0.0, 'equilibrium']"
2,8,F1,0.4,"Change price: 0.00, reason: Share rate remains zero, maintain stable price to keep consumer base and maximize profit amid competition.",3.6,9,3.6,0.0,"[0.0, 'equilibrium']"
2,9,F0,0.4,"Change price: 0.00, reason: Share rate remains zero, maintain price at 0.40 to keep stable consumer base and profit.",2.4,6,2.4,0.0,"[0.0, 'equilibrium']"
2,9,F1,0.4,"Change price: 0.00, reason: Share rate remains zero, maintain stable price to keep consumer base and maximize profit amid competition.",3.6,9,3.6,0.0,"[0.0, 'equilibrium']"
2,10,F0,0.4,"Change price: 0.00, reason: Share rate remains zero, maintain price at 0.40 to keep stable consumer base and profit.",2.4,6,2.4,0.0,"[0.0, 'equilibrium']"
2,10,F1,0.4,"Change price: 0.00, reason: Share rate remains zero, maintain stable price to keep consumer base and maximize profit amid competition.",3.6,9,3.6,0.0,"[0.0, 'equilibrium']"
3,1,F0,0.55,"Change price: 0.05, reason: Moderate increase due to competition and low share rate, leveraging personalized recommendations to maintain demand.",3.3,6,3.3,0.1,"[0.1, 'equilibrium']"
3,1,F1,0.55,"Change price: 0.05, reason: Increase price slightly due to moderate share rate and competition, leveraging personalized recommendations to boost willingness to pay.",2.75,5,2.75,0.1,"[0.1, 'equilibrium']"
3,1,F2,0.55,"Change price: 0.05, reason: Increase price due to moderate share rate and high competition boosting personalized recommendation value.",3.3,6,3.3,0.1,"[0.1, 'equilibrium']"
3,2,F0,0.55,"Change price: 0.00, reason: Maintain price to sustain demand with stable share rate and competition.",2.2,4,2.2,0.1,"[0.1, 'equilibrium']"
3,2,F1,0.6,"Change price: 0.05, reason: Moderate increase due to stable share rate and competition, leveraging personalized recommendations to maintain demand and improve profit.",3.6,6,3.6,0.1,"[0.1, 'equilibrium']"
3,2,F2,0.55,"Change price: 0.00, reason: Maintain price due to stable share rate and strong personalized recommendation impact sustaining demand.",3.85,7,3.85,0.1,"[0.1, 'equilibrium']"
3,3,F0,0.6,"Change price: 0.05, reason: Moderate increase to leverage stable share rate and personalized recommendations enhancing demand despite competition.",4.2,7,4.2,0.1,"[0.1, 'equilibrium']"
3,3,F1,0.6,"Change price: 0.00, reason: Maintain price due to stable share rate and competition, leveraging personalized recommendations to sustain and improve profit.",3.0,5,3.0,0.1,"[0.1, 'equilibrium']"
3,3,F2,0.6,"Change price: 0.05, reason: Moderate increase to leverage stable share rate and strong personalized recommendation effect to improve profit.",3.0,5,3.0,0.1,"[0.1, 'equilibrium']"
