firm_num,round,firm_id,price,price_reason,profit,sale_num,revenue,share_rate,share_rate_predicted
1,1,F0,0.5,"Change price: 0.00, reason: Single firm with uniform valuations and no competition; basic price 0.50 maximizes profit given zero cost and moderate share rate.",5.0,10,5.0,0.0,"[0.2556089458160472, 'adaptive']"
1,2,F0,0.5,"Change price: 0.00, reason: Single firm with uniform valuations and no competition; price 0.50 maximizes profit given zero cost and zero share rate.",5.5,11,5.5,0.0,"[0.0, 'adaptive']"
1,3,F0,0.5,"Change price: 0.00, reason: Single firm with uniform valuations and zero cost; price 0.50 maximizes profit given zero share rate and stable sales.",5.5,11,5.5,0.0,"[0.0, 'adaptive']"
1,4,F0,0.5,"Change price: 0.00, reason: Single firm with uniform valuations and zero cost; price 0.50 maximizes profit given zero share rate and stable sales.",5.5,11,5.5,0.0,"[0.0, 'adaptive']"
1,5,F0,0.5,"Change price: 0.00, reason: Single firm, zero cost, zero share rate; price 0.50 consistently maximizes profit with stable sales and no competition.",5.5,11,5.5,0.0,"[0.0, 'adaptive']"
1,6,F0,0.5,"Change price: 0.00, reason: Single firm with zero cost and zero share rate; price 0.50 consistently maximizes profit with stable sales and no competition.",5.5,11,5.5,0.0,"[0.0, 'adaptive']"
1,7,F0,0.5,"Change price: 0.00, reason: Single firm with zero cost and zero share rate; price 0.50 consistently maximizes profit with stable sales and no competition.",5.5,11,5.5,0.0,"[0.0, 'adaptive']"
1,8,F0,0.5,"Change price: 0.00, reason: Single firm with zero cost and zero share rate; price 0.50 consistently maximizes profit with stable sales and no competition.",5.5,11,5.5,0.0,"[0.0, 'adaptive']"
1,9,F0,0.5,"Change price: 0.00, reason: Single firm with zero cost and zero share rate; price 0.50 consistently maximizes profit with stable sales and no competition.",5.5,11,5.5,0.0,"[0.0, 'adaptive']"
1,10,F0,0.5,"Change price: 0.00, reason: Single firm, zero cost, zero share rate; price 0.50 consistently maximizes profit with stable sales and no competition.",5.5,11,5.5,0.0,"[0.0, 'adaptive']"
2,1,F0,0.6,"Change price: 0.10, reason: Moderate share rate boosts personalized recommendations, reducing search and increasing purchase likelihood, allowing a higher price to maximize profit.",4.8,8,4.8,0.05,"[0.4028581237754436, 'adaptive']"
2,1,F1,0.6,"Change price: 0.10, reason: High share rate (0.957) means strong personalized recommendations, increasing purchase likelihood; can raise price above basic 0.50 to maximize profit without losing many consumers.",3.0,5,3.0,0.05,"[0.9574402773358309, 'adaptive']"
2,2,F0,0.6,"Change price: 0.00, reason: Current price 0.60 yields strong profit with moderate share rate; no need to change given stable market conditions and low share rate.",6.0,10,6.0,0.0,"[0.05, 'adaptive']"
2,2,F1,0.6,"Change price: 0.00, reason: Current share rate is low (0.05), limiting personalized recommendation benefits; maintaining price at 0.6 balances competitive positioning and profit maximization under stable demand.",3.0,5,3.0,0.0,"[0.05, 'adaptive']"
2,3,F0,0.6,"Change price: 0.00, reason: Current price 0.60 yields strong profit with stable demand and zero share rate; no incentive to change price under current market conditions.",6.0,10,6.0,0.0,"[0.0, 'adaptive']"
2,3,F1,0.6,"Change price: 0.00, reason: Share rate remains low at 0.0, limiting personalized recommendation benefits; maintaining price at 0.60 balances competitive positioning and profit maximization under stable demand and competition.",4.2,7,4.2,0.0,"[0.0, 'adaptive']"
