firm_num,round,firm_id,price,price_reason,profit,sale_num,revenue,share_rate,share_rate_predicted
1,1,F0,0.5,"Change price: 0.00, reason: Monopoly with no data sharing, basic price optimal.",5.5,11,5.5,0.0,"[0.0, 'equilibrium']"
1,2,F0,0.5,"Change price: 0.00, reason: Monopoly with no data sharing, basic price optimal.",5.5,11,5.5,0.0,"[0.0, 'equilibrium']"
1,3,F0,0.5,"Change price: 0.00, reason: Monopoly with no data sharing, basic price optimal.",5.5,11,5.5,0.0,"[0.0, 'equilibrium']"
1,4,F0,0.5,"Change price: 0.00, reason: Monopoly with no data sharing, basic price optimal.",5.5,11,5.5,0.0,"[0.0, 'equilibrium']"
1,5,F0,0.5,"Change price: 0.00, reason: Monopoly with no data sharing, basic price optimal.",5.5,11,5.5,0.0,"[0.0, 'equilibrium']"
1,6,F0,0.5,"Change price: 0.00, reason: Monopoly with no data sharing, optimal price unchanged.",5.5,11,5.5,0.0,"[0.0, 'equilibrium']"
1,7,F0,0.5,"Change price: 0.00, reason: Monopoly with no data sharing, optimal price unchanged.",5.5,11,5.5,0.0,"[0.0, 'equilibrium']"
1,8,F0,0.5,"Change price: 0.00, reason: Monopoly with no data sharing, optimal price unchanged.",5.5,11,5.5,0.0,"[0.0, 'equilibrium']"
1,9,F0,0.5,"Change price: 0.00, reason: Monopoly with no data sharing, optimal price unchanged.",5.5,11,5.5,0.0,"[0.0, 'equilibrium']"
1,10,F0,0.5,"Change price: 0.00, reason: Monopoly with no data sharing, optimal price unchanged.",5.5,11,5.5,0.0,"[0.0, 'equilibrium']"
2,1,F0,0.5,"Change price: 0.00, reason: symmetric duopoly with no data sharing suggests starting at basic price to avoid price war.",1.5,3,1.5,0.0,"[0.0, 'equilibrium']"
2,1,F1,0.45,"Change price: -0.05, reason: Zero share rate heightens competition and consumer search, requiring a price cut to boost demand and profit.",4.95,11,4.95,0.0,"[0.0, 'equilibrium']"
2,2,F0,0.45,"Change price: -0.05, reason: Zero share rate increases competition, requiring price cut to match competitor and increase sales and profit.",2.7,6,2.7,0.0,"[0.0, 'equilibrium']"
2,2,F1,0.48,"Change price: 0.03, reason: Slight increase to optimize profit with zero share rate.",5.28,11,5.28,0.0,"[0.0, 'equilibrium']"
2,3,F0,0.48,"Change price: 0.03, reason: Match competitor's higher price to increase profit margin, as lower price resulted in suboptimal sales relative to their performance.",1.92,4,1.92,0.0,"[0.0, 'equilibrium']"
2,3,F1,0.51,"Change price: 0.03, reason: Slight increase to further optimize profit with unchanged sales and zero share rate.",5.1,10,5.1,0.0,"[0.0, 'equilibrium']"
2,4,F0,0.51,"Change price: 0.03, reason: Slight increase to match competitor's price and optimize profit with potential stable sales under zero share rate.",1.53,3,1.53,0.0,"[0.0, 'equilibrium']"
2,4,F1,0.48,"Change price: -0.03, reason: Decrease to regain lost sales and boost profit after recent price hike reduced revenue.",5.28,11,5.28,0.0,"[0.0, 'equilibrium']"
2,5,F0,0.48,"Change price: -0.03, reason: Match competitor's price to increase sales and profit after recent underperformance.",2.4,5,2.4,0.0,"[0.0, 'equilibrium']"
2,5,F1,0.5,"Change price: 0.02, reason: Slight increase to optimize profit with competitor at higher price and stable demand.",4.5,9,4.5,0.0,"[0.0, 'equilibrium']"
2,6,F0,0.5,"Change price: 0.02, reason: Increase to match competitor's price and optimize profit with stable demand and no data sharing.",1.0,2,1.0,0.0,"[0.0, 'equilibrium']"
2,6,F1,0.48,"Change price: -0.02, reason: Decrease to regain sales and boost profit after recent drop in revenue.",5.76,12,5.76,0.0,"[0.0, 'equilibrium']"
